tournament/last-living-stocks/event/singles,Last Living Stocks,Singles,70689199
tournament/to-the-top-5/event/ultimate-singles,To the Top 5,Singles,70990765|70990766|70990739|70990747|70990751|70990879|70990883|70990885|70990896|70990887
tournament/to-the-top-6/event/ultimate-ladder,To the Top 6,Ladder,
tournament/to-the-top-7/event/ultimate-ladder,To the Top 7,Ladder,
tournament/to-the-top-8/event/ultimate-ladder,To the Top 8,Ladder,
tournament/to-the-top-9/event/ultimate-ladder,To the Top 9,Ladder,
tournament/to-the-top-x/event/ultimate-ladder,To the Top X,Ladder,
tournament/to-the-top-11/event/ultimate-ladder,To the Top 11,Ladder,
tournament/to-the-top-12/event/ultimate-ladder,To the Top 12,Ladder,
tournament/to-the-top-13/event/ultimate-ladder,To the Top 13,Ladder,
tournament/ultra-combo/event/ultimate-singles,Ultra Combo,Ladder,83566971